iter	R2	RMSE
0	-7.14878035	1.019240089
1	-5.82845021	0.9330206698
2	-4.746387512	0.855909105
3	-3.837887154	0.7853406156
4	-3.087386297	0.7218600942
5	-2.482310702	0.666291005
6	-1.970777083	0.6154109566
7	-1.55650604	0.5708915345
8	-1.201154544	0.5297310862
9	-0.9199513895	0.4947380444
10	-0.6764117581	0.462296431
11	-0.4779042421	0.4340635714
12	-0.3105125784	0.4087434331
13	-0.1715857719	0.3864712893
14	-0.0612688386	0.367826401
15	0.03561337163	0.3506354173
16	0.117042689	0.3355058098
17	0.1840728923	0.3225194218
18	0.236772639	0.3119300085
19	0.2827599149	0.3023865487
20	0.323113332	0.2937569644
21	0.3557751204	0.286582019
22	0.3827032662	0.2805286237
23	0.4051563444	0.2753795009
24	0.4263407624	0.2704314441
25	0.4441088663	0.2662104289
26	0.4585635428	0.2627265356
27	0.4723087601	0.259370234
28	0.4830418938	0.2567189137
29	0.4915630725	0.2545943341
30	0.4995308551	0.2525915659
31	0.5061312635	0.2509203929
32	0.5140535762	0.2488997078
33	0.5205206966	0.2472379446
34	0.5264406781	0.2457069192
35	0.5334367316	0.2438852099
36	0.5367884989	0.2430076013
37	0.5421898169	0.2415866412
38	0.5459765223	0.2405854435
39	0.5501665283	0.2394727356
40	0.5532093665	0.2386614207
41	0.5549205384	0.2382039553
42	0.556972358	0.2376542601
43	0.5596331833	0.2369395092
44	0.5622370768	0.2362379577
45	0.5643657891	0.2356628799
46	0.5655248888	0.2353491548
47	0.56700791	0.2349471455
48	0.5691421653	0.2343673928
49	0.5726102378	0.2334222489
50	0.5746729848	0.2328582749
51	0.5763656643	0.2323944584
52	0.5778344794	0.2319912323
53	0.5793894593	0.2315635866
54	0.5811518478	0.2310779433
55	0.5830080208	0.2305653507
56	0.5840210938	0.2302851036
57	0.5847859822	0.2300732859
58	0.5859870641	0.2297402805
59	0.5865802516	0.2295756384
60	0.5877382565	0.2292538878
61	0.5896055249	0.2287341156
62	0.5926246012	0.2278912187
63	0.5951113272	0.2271946002
64	0.5960630735	0.226927417
65	0.5965013611	0.226804271
66	0.5969720177	0.2266719557
67	0.5979155999	0.2264064543
68	0.598936497	0.2261188473
69	0.5999863552	0.2258226993
70	0.6010665915	0.2255175763
71	0.6023175909	0.2251637028
72	0.6035688449	0.2248092002
73	0.6048893294	0.224434476
74	0.605676549	0.2242107826
75	0.6065895849	0.2239510578
76	0.6075123569	0.2236882571
77	0.6093894188	0.2231527244
78	0.6103605274	0.2228751584
79	0.6109195416	0.222715222
80	0.6114584671	0.2225609242
81	0.6121318025	0.2223679936
82	0.6134077093	0.2220019484
83	0.6136130901	0.2219429703
84	0.6146993575	0.2216307715
85	0.6158122143	0.221310474
86	0.6160798884	0.221233364
87	0.6165428914	0.2210999214
88	0.6178359184	0.2207268293
89	0.6184564646	0.2205475518
90	0.6195491599	0.2202315144
91	0.6208935422	0.2198420589
92	0.6212529008	0.219737839
93	0.6221938501	0.2194647138
94	0.6233238449	0.2191362654
95	0.6243669373	0.2188326387
96	0.6249794753	0.2186541427
97	0.6254377665	0.2185204995
98	0.6260041901	0.2183552105
99	0.6266206896	0.2181751665
100	0.6272757033	0.2179837118
101	0.6275846155	0.2178933612
102	0.6278169143	0.2178253937
103	0.6283764686	0.2176615886
104	0.6292319967	0.2174109009
105	0.6297657392	0.2172543566
106	0.6303612976	0.2170795487
107	0.6305204962	0.217032797
108	0.631414024	0.2167702084
109	0.6324033631	0.2164790913
110	0.6326997336	0.2163918068
111	0.6331734814	0.2162522096
112	0.6338119381	0.2160639356
113	0.6346906945	0.2158045311
114	0.6350444011	0.2157000307
115	0.635218838	0.2156484757
116	0.6355192258	0.215559667
117	0.6359364106	0.2154362668
118	0.6361400798	0.2153759973
119	0.6366928848	0.2152123269
120	0.6368655194	0.2151611891
121	0.637107122	0.215089601
122	0.637646169	0.2149297929
123	0.6380319759	0.2148153419
124	0.6384325855	0.2146964351
125	0.6388172751	0.2145821916
126	0.6391452294	0.2144847491
127	0.6396285815	0.2143410536
128	0.6403363991	0.2141304529
129	0.6406070159	0.2140498801
130	0.6413341211	0.2138332432
