iter	Passed	Remaining
0	4	6843
1	8	6247
2	11	5673
3	14	5406
4	18	5548
5	21	5432
6	25	5412
7	28	5316
8	32	5327
9	35	5239
10	38	5213
11	41	5157
12	44	5113
13	48	5138
14	52	5161
15	56	5191
16	59	5193
17	63	5225
18	66	5195
19	69	5162
20	73	5157
21	77	5195
22	80	5180
23	84	5179
24	87	5145
25	90	5153
26	94	5142
27	97	5111
28	100	5099
29	103	5082
30	108	5114
31	111	5114
32	114	5106
33	118	5090
34	121	5079
35	125	5089
36	128	5074
37	131	5060
38	134	5034
39	138	5042
40	141	5028
41	144	5028
42	148	5027
43	152	5049
44	156	5055
45	160	5076
46	164	5067
47	167	5053
48	170	5051
49	174	5044
50	176	5024
51	180	5013
52	183	4996
53	186	4992
54	189	4985
55	193	4984
56	197	4983
57	200	4979
58	203	4974
59	207	4975
60	210	4965
61	214	4964
62	217	4956
63	220	4944
64	223	4930
65	227	4933
66	230	4930
67	233	4916
68	237	4920
69	242	4948
70	247	4979
71	251	4986
72	256	5001
73	260	5012
74	264	5018
75	268	5024
76	271	5020
77	275	5012
78	278	5005
79	281	5001
80	285	4996
81	288	4984
82	291	4971
83	294	4966
84	298	4957
85	301	4948
86	304	4941
87	307	4929
88	310	4917
89	313	4905
90	317	4917
91	321	4914
92	325	4915
93	328	4910
94	331	4900
95	335	4905
96	339	4905
97	342	4898
98	346	4904
99	350	4900
100	353	4894
101	356	4884
102	360	4882
103	363	4875
104	366	4869
105	370	4874
106	374	4870
107	378	4868
108	381	4870
109	385	4866
110	388	4858
111	391	4853
112	395	4850
113	399	4858
114	403	4860
115	407	4860
116	411	4861
117	415	4861
118	418	4856
119	421	4848
120	425	4841
121	429	4845
122	432	4837
123	436	4839
124	439	4835
125	443	4832
126	446	4822
127	449	4811
128	453	4816
129	457	4817
130	461	4820
131	464	4814
132	468	4812
133	471	4804
134	477	4825
135	482	4838
136	487	4846
137	491	4843
138	496	4856
139	499	4850
140	503	4853
141	509	4866
142	512	4856
143	516	4856
144	520	4857
145	523	4854
146	527	4854
147	531	4853
148	535	4850
149	538	4843
150	542	4845
151	545	4834
152	548	4827
153	552	4823
154	556	4823
155	559	4815
156	562	4808
157	566	4804
158	569	4795
159	572	4789
160	576	4792
161	580	4794
162	584	4789
163	588	4792
164	592	4792
165	596	4787
166	600	4792
167	605	4797
168	608	4791
169	612	4788
170	616	4787
171	620	4786
172	623	4776
173	626	4770
174	629	4764
175	633	4758
176	636	4753
177	641	4758
178	644	4749
179	647	4741
180	650	4739
181	654	4737
182	658	4732
183	661	4726
184	664	4719
185	668	4719
186	672	4718
187	676	4715
188	679	4711
189	683	4707
190	686	4701
191	689	4695
192	692	4687
193	695	4681
194	699	4676
195	702	4673
196	706	4666
197	709	4660
198	712	4655
199	716	4651
200	719	4645
201	722	4640
202	726	4640
203	733	4657
204	738	4662
205	742	4663
206	746	4662
207	750	4657
208	753	4650
209	756	4646
210	761	4645
211	766	4650
212	770	4649
213	774	4649
214	778	4650
215	781	4643
216	784	4636
217	790	4643
218	796	4655
219	799	4648
220	803	4647
221	807	4645
222	810	4638
223	814	4635
224	817	4628
225	820	4623
226	825	4623
227	828	4619
228	833	4620
229	836	4616
230	841	4619
231	845	4615
232	848	4612
233	852	4608
234	856	4606
235	859	4599
236	862	4594
237	866	4590
238	869	4584
239	873	4580
240	876	4573
241	880	4575
242	884	4571
243	887	4565
244	894	4575
245	897	4572
246	900	4565
247	903	4558
248	907	4557
249	911	4551
250	914	4548
251	918	4542
252	922	4543
253	925	4538
254	929	4535
255	935	4540
256	938	4537
257	942	4531
258	946	4530
259	952	4541
260	957	4540
261	961	4539
262	966	4542
263	970	4541
264	975	4543
265	979	4541
266	983	4536
267	986	4533
268	991	4534
269	995	4531
270	999	4527
271	1004	4529
272	1011	4544
273	1016	4544
274	1020	4543
275	1024	4541
276	1028	4538
277	1033	4539
278	1037	4535
279	1040	4531
280	1044	4528
281	1049	4527
282	1052	4520
283	1056	4519
284	1059	4514
285	1062	4508
286	1067	4506
287	1070	4502
288	1074	4499
289	1078	4496
290	1082	4492
291	1085	4487
292	1089	4486
293	1093	4481
294	1097	4479
295	1101	4476
296	1106	4479
297	1109	4472
298	1113	4467
299	1118	4471
300	1121	4465
301	1125	4460
302	1130	4461
303	1134	4458
304	1138	4455
305	1142	4453
306	1146	4452
307	1150	4447
308	1154	4444
309	1158	4441
310	1163	4443
311	1167	4441
312	1170	4436
313	1174	4433
314	1177	4427
315	1181	4423
316	1184	4417
317	1188	4414
318	1192	4409
319	1197	4411
320	1200	4406
321	1205	4404
322	1208	4398
323	1211	4392
324	1214	4387
325	1217	4381
326	1221	4376
327	1225	4374
328	1230	4376
329	1234	4372
330	1237	4366
331	1241	4362
332	1244	4357
333	1248	4353
334	1252	4351
335	1255	4344
336	1260	4347
337	1264	4343
338	1267	4337
339	1271	4333
340	1274	4328
341	1277	4323
342	1280	4317
343	1284	4312
344	1287	4307
345	1291	4304
346	1299	4313
347	1302	4309
348	1307	4309
349	1311	4305
350	1315	4301
351	1318	4296
352	1323	4296
353	1327	4292
354	1330	4287
355	1333	4282
356	1337	4277
357	1340	4272
358	1343	4266
359	1346	4261
360	1352	4264
361	1357	4263
362	1360	4257
363	1364	4254
364	1368	4251
365	1372	4248
366	1376	4245
367	1379	4240
368	1383	4235
369	1386	4229
370	1389	4223
371	1392	4218
372	1395	4212
373	1400	4211
374	1405	4213
375	1408	4207
376	1412	4204
377	1416	4201
378	1419	4194
379	1422	4188
380	1426	4186
381	1429	4181
382	1434	4178
383	1437	4173
384	1440	4169
385	1444	4165
386	1447	4159
387	1451	4156
388	1454	4150
389	1457	4144
390	1460	4139
391	1464	4136
392	1467	4130
393	1471	4126
394	1474	4121
395	1477	4116
396	1481	4113
397	1485	4108
398	1488	4103
399	1492	4099
400	1495	4095
401	1498	4089
402	1501	4083
403	1504	4078
404	1507	4073
405	1511	4068
406	1514	4063
407	1517	4058
408	1520	4052
409	1524	4048
410	1527	4044
411	1531	4040
412	1535	4037
413	1539	4035
414	1543	4032
415	1546	4026
416	1549	4021
417	1553	4017
418	1556	4012
419	1559	4007
420	1563	4004
421	1567	4000
422	1571	3997
423	1574	3992
424	1578	3988
425	1581	3983
426	1585	3979
427	1588	3975
428	1591	3970
429	1594	3964
430	1598	3960
431	1601	3954
432	1603	3948
433	1606	3942
434	1610	3940
435	1614	3935
436	1617	3930
437	1620	3925
438	1623	3920
439	1626	3914
440	1629	3909
441	1632	3904
442	1635	3897
443	1638	3894
444	1642	3890
445	1645	3885
446	1648	3879
447	1651	3874
448	1655	3870
449	1658	3866
450	1661	3861
451	1664	3854
452	1667	3849
453	1670	3844
454	1673	3839
455	1677	3837
456	1681	3833
457	1684	3829
458	1688	3824
459	1691	3820
460	1694	3814
461	1697	3809
462	1700	3804
463	1703	3800
464	1707	3796
465	1710	3792
466	1713	3787
467	1717	3782
468	1720	3778
469	1723	3773
470	1727	3770
471	1730	3765
472	1734	3761
473	1737	3758
474	1741	3754
475	1744	3749
476	1747	3743
477	1750	3739
478	1754	3735
479	1757	3730
480	1760	3725
481	1762	3719
482	1765	3714
483	1768	3709
484	1772	3705
485	1775	3700
486	1778	3695
487	1781	3690
488	1785	3688
489	1790	3687
490	1794	3684
491	1797	3679
492	1801	3675
493	1804	3670
494	1807	3666
495	1810	3661
496	1814	3658
497	1817	3653
498	1820	3648
499	1823	3643
500	1826	3639
501	1830	3635
502	1834	3631
503	1837	3628
504	1841	3624
505	1844	3620
506	1848	3615
507	1852	3613
508	1856	3611
509	1860	3607
510	1863	3602
511	1866	3597
512	1869	3593
513	1872	3588
514	1876	3584
515	1879	3580
516	1882	3576
517	1886	3571
518	1889	3568
519	1893	3564
520	1896	3560
521	1901	3559
522	1906	3557
523	1910	3555
524	1914	3550
525	1917	3546
526	1921	3544
527	1926	3543
528	1930	3539
529	1935	3537
530	1937	3532
531	1940	3527
532	1944	3523
533	1947	3519
534	1950	3515
535	1955	3513
536	1959	3510
537	1963	3506
538	1967	3503
539	1970	3500
540	1974	3495
541	1977	3492
542	1981	3488
543	1984	3484
544	1988	3480
545	1991	3475
546	1994	3471
547	1997	3466
548	2000	3462
549	2004	3458
550	2007	3454
551	2011	3450
552	2014	3446
553	2018	3442
554	2021	3438
555	2025	3435
556	2028	3431
557	2032	3426
558	2035	3422
559	2038	3418
560	2041	3413
561	2044	3409
562	2048	3404
563	2051	3400
564	2053	3395
565	2056	3390
566	2060	3387
567	2067	3388
568	2071	3385
569	2074	3381
570	2078	3377
571	2081	3373
