iter	Passed	Remaining
0	6	10278
1	12	9357
2	19	9687
3	24	9190
4	29	8873
5	36	8978
6	41	8794
7	46	8606
8	52	8682
9	57	8547
10	62	8431
11	69	8505
12	74	8416
13	79	8318
14	86	8455
15	93	8586
16	99	8591
17	105	8588
18	110	8536
19	117	8597
20	122	8545
21	127	8489
22	134	8546
23	139	8503
24	145	8478
25	151	8510
26	156	8467
27	162	8449
28	168	8444
29	173	8414
30	178	8382
31	184	8387
32	190	8372
33	196	8377
34	201	8366
35	207	8346
36	213	8365
37	219	8342
38	223	8304
39	230	8312
40	235	8290
41	240	8254
42	246	8253
43	251	8239
44	256	8208
45	262	8212
46	268	8204
47	273	8176
48	279	8182
49	284	8160
50	289	8135
51	295	8145
52	300	8128
53	306	8113
54	312	8116
55	317	8099
56	322	8088
57	329	8104
58	334	8086
59	339	8068
60	346	8083
61	351	8064
62	356	8047
63	362	8048
64	367	8027
65	372	8009
66	378	8014
67	383	7996
68	388	7976
69	395	7996
70	401	7988
71	407	7996
72	414	8009
73	420	8015
74	427	8032
75	433	8035
76	441	8072
77	447	8072
78	453	8073
79	460	8095
80	466	8088
81	473	8102
82	479	8096
83	484	8087
84	491	8098
85	498	8106
86	504	8100
87	509	8087
88	514	8069
89	519	8058
90	524	8041
91	529	8018
92	534	8000
93	540	7999
94	545	7980
95	550	7959
96	555	7951
97	560	7932
98	565	7914
99	571	7908
100	575	7890
101	580	7874
102	585	7861
103	590	7843
104	595	7824
105	600	7810
106	605	7798
107	610	7780
108	614	7763
109	621	7763
110	625	7748
111	630	7733
112	636	7730
113	641	7715
114	646	7701
115	651	7693
116	656	7679
117	661	7665
118	666	7655
119	671	7642
120	676	7626
121	681	7614
122	687	7610
123	692	7598
124	697	7584
125	702	7572
126	706	7558
127	711	7544
128	717	7537
129	722	7526
130	726	7513
131	732	7507
132	737	7496
133	742	7483
134	747	7473
135	752	7459
136	756	7444
137	761	7437
138	766	7426
139	771	7411
140	776	7397
141	780	7386
142	785	7374
143	790	7366
144	796	7360
145	801	7350
146	806	7339
147	811	7328
148	815	7316
149	820	7304
150	825	7293
151	830	7284
152	835	7273
153	841	7269
154	846	7263
155	851	7255
156	857	7253
157	863	7251
158	868	7245
159	874	7238
160	879	7235
161	885	7232
162	891	7229
163	897	7226
164	902	7219
165	907	7209
166	912	7202
167	917	7193
168	922	7182
169	927	7174
170	932	7166
171	937	7157
172	942	7145
173	947	7137
174	952	7128
175	957	7117
176	963	7121
177	968	7110
178	973	7102
179	978	7095
180	983	7084
181	988	7073
182	993	7065
183	997	7054
184	1002	7047
185	1007	7039
186	1012	7029
187	1017	7019
